id,year,week,postseason,id_home_team,id_away_team,points_home,points_away,completed,conference_game
326,1886,1,0,2731,112,61.0,0.0,1,0
327,1886,1,0,219,1000087,64.0,0.0,1,0
328,1886,1,0,112,108,0.0,82.0,1,0
329,1886,1,0,219,1000088,18.0,0.0,1,0
330,1886,1,0,2731,109,14.0,14.0,1,0
331,1886,2,0,112,2731,4.0,33.0,1,0
332,1886,2,0,109,108,0.0,54.0,1,0
333,1886,2,0,43,1000061,75.0,0.0,1,0
334,1886,2,0,108,112,46.0,0.0,1,0
335,1886,2,0,1000061,43,0.0,62.0,1,0
336,1886,2,0,163,1000055,58.0,0.0,1,0
337,1886,2,0,219,2329,26.0,4.0,1,0
338,1886,2,0,2731,109,21.0,0.0,1,0
339,1886,3,0,112,7,4.0,18.0,1,0
340,1886,3,0,1000002,322,12.0,20.0,1,0
341,1886,3,0,1000055,163,6.0,61.0,1,0
342,1886,3,0,219,1000082,4.0,0.0,1,0
343,1886,3,0,43,109,96.0,0.0,1,0
344,1886,3,0,1000089,159,18.0,11.0,1,0
345,1886,3,0,219,163,0.0,30.0,1,0
346,1886,3,0,108,1000055,44.0,0.0,1,0
347,1886,3,0,322,164,28.0,2.0,1,0
348,1886,3,0,1000061,7,47.0,0.0,1,0
349,1886,3,0,322,2175,24.0,5.0,1,0
350,1886,3,0,1000070,219,6.0,6.0,1,0
351,1886,4,0,1000055,43,0.0,54.0,1,0
352,1886,4,0,108,109,59.0,0.0,1,0
353,1886,4,0,7,112,22.0,4.0,1,0
354,1886,4,0,322,219,12.0,0.0,1,0
355,1886,4,0,2175,2329,0.0,26.0,1,0
356,1886,4,0,163,219,55.0,9.0,1,0
357,1886,4,0,112,1000090,8.0,18.0,1,0
358,1886,4,0,159,109,11.0,6.0,1,0
359,1886,4,0,2731,43,0.0,76.0,1,0
360,1886,4,0,1000089,108,0.0,86.0,1,0
361,1886,4,0,7,113,13.0,0.0,1,0
362,1886,4,0,1000055,322,0.0,5.0,1,0
363,1886,5,0,1000060,159,0.0,91.0,1,0
364,1886,5,0,219,1000061,14.0,0.0,1,0
365,1886,5,0,108,159,70.0,0.0,1,0
366,1886,5,0,109,7,22.0,0.0,1,0
367,1886,5,0,219,322,20.0,10.0,1,0
368,1886,5,0,112,113,5.0,6.0,1,0
369,1886,5,0,43,1000061,136.0,0.0,1,0
370,1886,5,0,2329,1000055,0.0,0.0,1,0
371,1886,6,0,1000075,43,0.0,84.0,1,0
372,1886,6,0,1000090,108,0.0,158.0,1,0
373,1886,6,0,219,1000030,16.0,4.0,1,0
374,1886,6,0,108,1000061,34.0,0.0,1,0
375,1886,6,0,164,1000091,58.0,0.0,1,0
376,1886,6,0,322,2329,12.0,0.0,1,0
377,1886,6,0,219,163,6.0,28.0,1,0
378,1886,6,0,7,2731,2.0,15.0,1,0
379,1886,6,0,109,112,26.0,8.0,1,0
380,1886,7,0,108,1000092,38.0,0.0,1,0
381,1886,7,0,219,164,65.0,0.0,1,0
382,1886,7,0,2977,322,0.0,12.0,1,0
383,1886,7,0,43,219,75.0,0.0,1,0
384,1886,7,0,2329,1000055,14.0,0.0,1,0
385,1886,7,0,1000061,322,26.0,0.0,1,0
386,1886,7,0,2731,7,11.0,0.0,1,0
387,1886,7,0,163,108,12.0,0.0,1,0
388,1886,7,0,219,1000091,96.0,6.0,1,0
389,1886,8,0,109,108,0.0,62.0,1,0
390,1886,8,0,164,322,10.0,26.0,1,0
391,1886,8,0,2329,219,28.0,0.0,1,0
392,1886,8,0,2329,1000030,18.0,4.0,1,0
393,1886,8,0,1000061,163,6.0,76.0,1,0
394,1886,8,0,322,1000055,58.0,0.0,1,0
395,1886,8,0,108,43,4.0,29.0,1,0
396,1886,9,0,2329,322,0.0,4.0,1,0
397,1886,9,0,43,163,0.0,0.0,1,0
398,1886,9,0,219,108,0.0,28.0,1,0
399,1887,1,0,1000061,7,34.0,0.0,1,0
400,1887,1,0,112,108,0.0,86.0,1,0
401,1887,2,0,43,1000061,38.0,0.0,1,0
402,1887,2,0,1000090,108,0.0,68.0,1,0
403,1887,2,0,2329,1000002,24.0,0.0,1,0
404,1887,2,0,163,322,47.0,0.0,1,0
405,1887,2,0,108,109,62.0,0.0,1,0
406,1887,2,0,7,2731,0.0,54.0,1,0
407,1887,2,0,164,1000055,26.0,0.0,1,0
408,1887,2,0,112,1000010,5.0,0.0,1,0
409,1887,2,0,219,1000082,14.0,6.0,1,0
410,1887,3,0,219,1000088,46.0,0.0,1,0
411,1887,3,0,2175,322,0.0,12.0,1,0
412,1887,3,0,164,163,0.0,30.0,1,0
413,1887,3,0,1000061,2977,58.0,0.0,1,0
414,1887,3,0,1000061,43,0.0,106.0,1,0
415,1887,3,0,163,2329,80.0,0.0,1,0
416,1887,3,0,322,164,20.0,0.0,1,0
417,1887,3,0,108,2731,52.0,6.0,1,0
418,1887,3,0,112,159,0.0,52.0,1,0
419,1887,3,0,219,1000082,18.0,0.0,1,0
420,1887,3,0,113,7,0.0,10.0,1,0
421,1887,4,0,219,163,0.0,57.0,1,0
422,1887,4,0,1000055,164,2.0,5.0,1,0
423,1887,4,0,322,1000030,12.0,4.0,1,0
424,1887,4,0,2977,113,32.0,4.0,1,0
425,1887,4,0,311,112,12.0,6.0,1,0
426,1887,4,0,322,1000002,31.0,6.0,1,0
427,1887,4,0,108,7,98.0,0.0,1,0
428,1887,4,0,163,219,42.0,0.0,1,0
429,1887,4,0,2329,2175,20.0,0.0,1,0
430,1887,4,0,159,1000055,4.0,4.0,1,0
431,1887,4,0,2731,43,0.0,74.0,1,0
432,1887,4,0,1000010,2977,14.0,14.0,1,0
433,1887,5,0,1000061,2731,18.0,6.0,1,0
434,1887,5,0,159,7,52.0,0.0,1,0
435,1887,5,0,7,1000010,22.0,0.0,1,0
436,1887,5,0,108,112,68.0,0.0,1,0
437,1887,5,0,2731,164,12.0,6.0,1,0
438,1887,5,0,109,2977,72.0,0.0,1,0
439,1887,5,0,1000055,1000093,4.0,10.0,1,0
440,1887,5,0,2329,322,10.0,4.0,1,0
441,1887,5,0,163,1000061,69.0,0.0,1,0
442,1887,5,0,219,43,0.0,50.0,1,0
443,1887,6,0,108,1000090,54.0,0.0,1,0
444,1887,6,0,219,164,13.0,10.0,1,0
445,1887,6,0,43,164,74.0,0.0,1,0
446,1887,6,0,1000090,112,29.0,8.0,1,0
447,1887,6,0,2731,1000059,94.0,0.0,1,0
448,1887,6,0,219,163,0.0,95.0,1,0
449,1887,6,0,7,2977,6.0,22.0,1,0
450,1887,6,0,108,1000061,110.0,0.0,1,0
451,1887,6,0,109,159,24.0,15.0,1,0
452,1887,7,0,1000075,43,0.0,68.0,1,0
453,1887,7,0,219,1000030,36.0,0.0,1,0
454,1887,7,0,43,1000061,76.0,4.0,1,0
455,1887,7,0,109,7,54.0,0.0,1,0
456,1887,7,0,219,2329,6.0,4.0,1,0
457,1887,7,0,164,322,0.0,36.0,1,0
458,1887,7,0,2977,1000055,26.0,0.0,1,0
459,1887,7,0,112,1000094,22.0,0.0,1,0
460,1887,7,0,108,163,12.0,0.0,1,0
461,1887,8,0,219,322,0.0,20.0,1,0
462,1887,8,0,2977,159,0.0,66.0,1,0
463,1887,8,0,7,1000095,44.0,0.0,1,0
464,1887,8,0,43,163,12.0,0.0,1,0
465,1887,8,0,1000055,109,0.0,20.0,1,0
466,1887,8,0,108,219,42.0,0.0,1,0
467,1887,8,0,112,1000089,32.0,6.0,1,0
468,1887,9,0,322,2329,6.0,0.0,1,0
469,1887,9,0,43,108,17.0,8.0,1,0
470,1887,9,0,1000061,219,10.0,4.0,1,0
471,1887,9,0,112,109,0.0,36.0,1,0
472,1887,9,0,7,1000055,16.0,6.0,1,0
473,1887,9,0,172,2329,10.0,38.0,1,0
474,1888,1,0,43,1000061,76.0,0.0,1,0
475,1888,2,0,219,1000070,20.0,6.0,1,0
476,1888,2,0,2749,108,0.0,70.0,1,0
477,1888,2,0,163,2329,65.0,0.0,1,0
478,1888,2,0,1000055,1000096,2.0,0.0,1,0
479,1888,2,0,2977,7,16.0,0.0,1,0
480,1888,2,0,219,1000055,48.0,0.0,1,0
481,1888,2,0,7,1000061,0.0,54.0,1,0
482,1888,2,0,108,109,18.0,0.0,1,0
483,1888,2,0,1000075,163,0.0,31.0,1,0
484,1888,2,0,43,164,65.0,0.0,1,0
485,1888,2,0,1000002,2329,8.0,12.0,1,0
486,1888,3,0,2977,7,0.0,0.0,1,0
487,1888,3,0,163,219,63.0,0.0,1,0
488,1888,3,0,322,2083,54.0,0.0,1,0
489,1888,3,0,1000090,108,6.0,30.0,1,0
490,1888,3,0,163,1000055,80.0,0.0,1,0
491,1888,3,0,2731,7,53.0,0.0,1,0
492,1888,3,0,1000061,108,0.0,34.0,1,0
493,1888,3,0,1000002,322,0.0,18.0,1,0
494,1888,3,0,219,43,0.0,34.0,1,0
495,1888,4,0,1000061,43,0.0,46.0,1,0
496,1888,4,0,1000002,219,6.0,44.0,1,0
497,1888,4,0,2731,108,6.0,14.0,1,0
498,1888,4,0,2329,1000030,16.0,6.0,1,0
499,1888,4,0,7,43,0.0,39.0,1,0
500,1888,4,0,164,322,0.0,4.0,1,0
501,1888,4,0,108,1000089,68.0,0.0,1,0
502,1888,4,0,2731,43,0.0,30.0,1,0
503,1888,4,0,1000055,109,12.0,18.0,1,0
504,1888,4,0,2329,1000002,50.0,0.0,1,0
505,1888,4,0,163,219,38.0,0.0,1,0
506,1888,4,0,172,1000097,26.0,0.0,1,0
507,1888,5,0,219,1000088,12.0,4.0,1,0
508,1888,5,0,2329,2083,74.0,0.0,1,0
509,1888,5,0,164,163,0.0,80.0,1,0
510,1888,5,0,108,2749,68.0,0.0,1,0
511,1888,5,0,43,109,68.0,0.0,1,0
512,1888,5,0,163,164,82.0,0.0,1,0
513,1888,5,0,43,1000055,69.0,0.0,1,0
514,1888,5,0,172,2731,20.0,0.0,1,0
515,1888,5,0,2329,219,0.0,36.0,1,0
516,1888,5,0,2977,113,34.0,0.0,1,0
517,1888,5,0,108,159,74.0,0.0,1,0
518,1888,5,0,109,7,48.0,0.0,1,0
519,1888,5,0,1000030,322,0.0,18.0,1,0
520,1888,6,0,108,109,42.0,0.0,1,0
521,1888,6,0,1000090,159,12.0,10.0,1,0
