id,year,week,postseason,id_home_team,id_away_team,points_home,points_away,completed,conference_game,home_team_id,home_team_full_name,home_team_school_name,home_team_mascot,away_team_id,away_team_full_name,away_team_school_name,away_team_mascot,home_team_ranking,away_team_ranking
96424,2022,10,0,2848,2829,,,1,1,2848,Western Oregon Wolves,Western Oregon,Wolves,2829,Simon Fraser Clansmen,Simon Fraser,Clansmen,-1.0,-1.0
96195,2022,10,0,402,2909,,,1,1,402,Worcester State College Lancers,Worcester State College,Lancers,2909,Westfield State Owls,Westfield State,Owls,-1.0,-1.0
96738,2022,11,0,2923,17,,,1,1,2923,Pomona-Pitzer Sagehens,Pomona-Pitzer,Sagehens,17,Claremont Stags,Claremont,Stags,-1.0,-1.0
96578,2022,11,0,126086,2038,,,0,0,126086,Post University Postuniv,Post University,Postuniv,2038,Assumption Greyhounds,Assumption,Greyhounds,-1.0,-1.0
96627,2022,11,0,2074,190,,,1,1,2074,Bluffton Beavers,Bluffton,Beavers,190,Defiance Yellow Jackets,Defiance,Yellow Jackets,-1.0,-1.0
96311,2022,10,0,2194,2834,,,1,1,2194,East Texas Baptist Tigers,East Texas Baptist,Tigers,2834,Sul Ross State Lobos,Sul Ross State,Lobos,-1.0,-1.0
85178,2016,10,0,2449,2754,,,0,1,2449,North Dakota State Bison,North Dakota State,Bison,2754,Youngstown State Penguins,Youngstown State,Penguins,-1.0,-1.0
96318,2022,10,0,2919,2891,,,1,1,2919,Monmouth (IL) Fighting Scots,Monmouth (IL),Fighting Scots,2891,Ripon Redhawks,Ripon,Redhawks,-1.0,-1.0
96188,2022,10,0,2467,2108,,,1,1,2467,Norwich Cadets,Norwich,Cadets,2108,Catholic University Cardinals,Catholic University,Cardinals,-1.0,-1.0
96359,2022,10,0,2740,2723,,,1,1,2740,Wisconsin-La Crosse Eagles,Wisconsin-La Crosse,Eagles,2723,UW-River Falls Falcons,UW-River Falls,Falcons,-1.0,-1.0
96375,2022,10,0,2105,2842,,,1,1,2105,Carson-Newman Eagles,Carson-Newman,Eagles,2842,UVA-Wise Highland Cavaliers,UVA-Wise,Highland Cavaliers,-1.0,-1.0
96218,2022,10,0,2394,348,,,1,1,2394,Middlebury Panthers,Middlebury,Panthers,348,Hamilton Continentals,Hamilton,Continentals,-1.0,-1.0
96333,2022,10,0,2148,2017,,,1,1,2148,Concord Mountain Lions,Concord,Mountain Lions,2017,Alderson-Broaddus Battlers,Alderson-Broaddus,Battlers,-1.0,-1.0
96855,2022,12,0,2364,2844,,,1,1,2364,Minnesota State Mavericks,Minnesota State,Mavericks,2844,Wayne State (NE) Wildcats,Wayne State (NE),Wildcats,-1.0,-1.0
85173,2016,10,0,2011,2296,,,0,1,2011,Alabama State Hornets,Alabama State,Hornets,2296,Jackson State Tigers,Jackson State,Tigers,-1.0,-1.0
96610,2022,11,0,2171,352,,,1,1,2171,Denison Big Red,Denison,Big Red,352,Kenyon Lords,Kenyon,Lords,-1.0,-1.0
96647,2022,11,0,2757,418,,,1,1,2757,Berry College Vikings,Berry College,Vikings,418,Hendrix College Warriors,Hendrix College,Warriors,-1.0,-1.0
96550,2022,11,0,386,2553,,,1,1,386,Trinity (TX) Tigers,Trinity (TX),Tigers,2553,Sewanee Univ. of the South Tigers,Sewanee Univ. of the South,Tigers,-1.0,-1.0
96713,2022,11,0,90,2231,,,1,1,90,Pittsburg State Gorillas,Pittsburg State,Gorillas,2231,Fort Hays State Tigers,Fort Hays State,Tigers,-1.0,-1.0
96362,2022,10,0,60,2805,,,1,1,60,Morehouse Tigers,Morehouse,Tigers,2805,Clark Atlanta Panthers,Clark Atlanta,Panthers,-1.0,-1.0
96625,2022,11,0,351,2842,,,1,1,351,Wingate Bulldogs,Wingate,Bulldogs,2842,UVA-Wise Highland Cavaliers,UVA-Wise,Highland Cavaliers,-1.0,-1.0
96525,2022,11,0,2884,40,,,1,1,2884,Nichols Bison,Nichols,Bison,40,Curry Colonels,Curry,Colonels,-1.0,-1.0
85216,2016,10,0,302,2502,,,0,1,302,California Davis Aggies,UC Davis,Aggies,2502,Portland State Vikings,Portland State,Vikings,-1.0,-1.0
96652,2022,11,0,122666,101784,,,1,1,122666,Barton College Bulldogs,Barton College,Bulldogs,101784,Erskine Flying Fleet,Erskine,Flying Fleet,-1.0,-1.0
96264,2022,10,0,215,2205,,,1,1,215,Slippery Rock The Rock,Slippery Rock,The Rock,2205,Edinboro Fighting Scots,Edinboro,Fighting Scots,-1.0,-1.0
96382,2022,10,0,2927,2264,,,1,1,2927,Southwestern Oklahoma Bulldogs,Southwestern Oklahoma,Bulldogs,2264,Harding Bison,Harding,Bison,-1.0,-1.0
96240,2022,10,0,2800,2003,,,1,1,2800,Alma College Scots,Alma College,Scots,2003,Adrian Bulldogs,Adrian,Bulldogs,-1.0,-1.0
96238,2022,10,0,89,352,,,0,1,89,Wabash College Little Giants,Wabash College,Little Giants,352,Kenyon Lords,Kenyon,Lords,-1.0,-1.0
89918,2019,11,0,2504,2029,,,0,1,2504,Prairie View Panthers,Prairie View,Panthers,2029,Arkansas-PB Golden Lions,Arkansas-Pine Bluff,Golden Lions,-1.0,-1.0
96289,2022,10,0,2849,2963,,,1,1,2849,Westminster PA Titans,Westminster PA,Titans,2963,Case Western Reserve Spartans,Case Western Reserve,Spartans,-1.0,-1.0
96438,2022,10,0,2025,2120,,,1,0,2025,Angelo State Rams,Angelo State,Rams,2120,Central Washington Wildcats,Central Washington,Wildcats,-1.0,-1.0
85177,2016,10,0,2571,2623,,,0,1,2571,South Dakota State Jackrabbits,South Dakota State,Jackrabbits,2623,Missouri State Bears,Missouri State,Bears,-1.0,-1.0
